Country,State,City,Organization,lastupdate,Avg,Max,Min,Pollutant_Name,Predominant_Parameter,AQI_Value
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,3,3,1,SO2,PM10,59
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,30,88,20,CO,PM10,59
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,2,31,1,OZONE,PM10,59
India,NCT of Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",14-09-2021 10:00,18,37,3,PM2.5,CO,103
India,NCT of Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",14-09-2021 10:00,50,81,10,PM10,CO,103
India,NCT of Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",14-09-2021 10:00,14,15,14,NO2,CO,103
India,NCT of Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",14-09-2021 10:00,103,107,102,CO,CO,103
India,NCT of Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",14-09-2021 10:00,12,15,10,OZONE,CO,103
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,55,161,19,PM2.5,PM10,77
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,77,115,50,PM10,PM10,77
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,34,84,16,NO2,PM10,77
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,6,7,4,NH3,PM10,77
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,11,22,1,SO2,PM10,77
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,35,87,11,CO,PM10,77
India,NCT of Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-09-2021 10:00,11,19,11,OZONE,PM10,77
India,NCT of Delhi,Delhi,"ITO, Delhi - CPCB",14-09-2021 10:00,72,147,33,PM2.5,PM2.5,72
India,NCT of Delhi,Delhi,"ITO, Delhi - CPCB",14-09-2021 10:00,24,30,19,NO2,PM2.5,72
India,NCT of Delhi,Delhi,"ITO, Delhi - CPCB",14-09-2021 10:00,8,9,8,NH3,PM2.5,72
India,NCT of Delhi,Delhi,"ITO, Delhi - CPCB",14-09-2021 10:00,8,11,5,SO2,PM2.5,72
India,NCT of Delhi,Delhi,"ITO, Delhi - CPCB",14-09-2021 10:00,35,106,15,CO,PM2.5,72
India,NCT of Delhi,Delhi,"ITO, Delhi - CPCB",14-09-2021 10:00,58,126,6,OZONE,PM2.5,72
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,46,143,8,PM2.5,PM10,58
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,58,115,25,PM10,PM10,58
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,25,42,12,NO2,PM10,58
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,3,7,1,NH3,PM10,58
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,9,11,7,SO2,PM10,58
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,44,88,10,CO,PM10,58
India,NCT of Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-09-2021 10:00,4,41,1,OZONE,PM10,58
